completions/train/mean_length,rewards/train/score/mean,_step,actor/train/kl
330.875,10.0,1921,0.1308622658252716
476.875,2.78125,1922,0.05893394351005554
305.75,5.1875,1923,0.1689596176147461
173.625,7.9375,1924,0.07611388713121414
198.625,10.0,1925,0.21138939261436462
377.875,7.5625,1926,0.2194313406944275
672.625,0.75,1927,0.18457233905792236
571.625,3.5625,1928,0.07223112881183624
280.25,10.0,1929,0.1253320425748825
304.875,5.6875,1930,0.17499957978725433
393.375,6.03125,1931,0.2150675505399704
305.875,10.0,1932,0.15453077852725983
345.0,4.71875,1933,0.14800426363945007
273.5,4.5,1934,0.20297113060951233
326.75,7.25,1935,0.24807223677635193
424.875,6.25,1936,0.24360144138336182
499.75,9.3125,1937,0.223957359790802
229.0,4.625,1938,0.1011272743344307
436.125,5.1875,1939,0.2124677151441574
319.625,4.65625,1940,0.18854168057441711
209.875,8.9375,1941,0.168106347322464
258.125,8.8125,1942,0.19608883559703827
208.0,10.0,1943,0.1854763925075531
664.25,2.0,1944,0.12934885919094086
200.25,10.0,1945,0.13955402374267578
316.0,9.3125,1946,0.10456570982933044
244.0,8.625,1947,0.17252351343631744
358.375,8.78125,1948,0.19813691079616547
405.5,4.5,1949,0.1776689738035202
204.125,10.0,1950,0.15339520573616028
184.875,10.0,1951,0.3014677166938782
220.625,9.875,1952,0.2294001579284668
175.25,3.75,1953,0.1638854444026947
292.0,10.0,1954,0.30315539240837097
261.625,7.5625,1955,0.10425618290901184
214.75,10.0,1956,0.1627333015203476
360.25,5.875,1957,0.17260053753852844
273.125,10.0,1958,0.19517749547958374
176.625,8.5,1959,0.2666366994380951
392.375,6.6875,1960,0.2526727616786957
224.375,7.75,1961,0.16143390536308289
278.25,6.25,1962,0.21637262403964996
155.25,9.5,1963,0.1624666303396225
227.125,8.3125,1964,0.18170367181301117
284.0,7.9375,1965,0.16941297054290771
210.625,10.0,1966,0.26300132274627686
168.625,10.0,1967,0.20266583561897278
232.0,9.3125,1968,0.2462732046842575
224.0,9.75,1969,0.22786186635494232
232.0,7.9375,1970,0.12706324458122253
304.625,10.0,1971,0.1273081749677658
308.0,4.25,1972,0.12302284687757492
593.75,2.25,1973,0.16585703194141388
230.75,5.875,1974,0.12626120448112488
567.75,4.9375,1975,0.18508540093898773
235.375,7.125,1976,0.11543700844049454
285.625,4.5,1977,0.2432336062192917
518.75,5.78125,1978,0.33280670642852783
313.125,6.4375,1979,0.15958333015441895
213.625,9.3125,1980,0.21975937485694885
394.25,6.9375,1981,0.26795220375061035
151.0,9.125,1982,0.16962864995002747
473.5,4.625,1983,0.3940405547618866
262.25,7.9375,1984,0.14585968852043152
360.125,9.3125,1985,0.26620203256607056
167.75,9.125,1986,0.15480610728263855
340.5,5.53125,1987,0.27217525243759155
275.5,10.0,1988,0.2642909288406372
190.5,9.125,1989,0.1520574688911438
417.375,3.25,1990,0.20322847366333008
182.25,10.0,1991,0.17581209540367126
448.25,7.3125,1992,0.2857860326766968
240.125,9.3125,1993,0.2187158614397049
271.0,5.75,1994,0.18052038550376892
167.25,6.6875,1995,0.14514335989952087
421.25,7.375,1996,0.35438016057014465
222.625,10.0,1997,0.2090085744857788
343.875,9.3125,1998,0.20900018513202667
264.5,6.0625,1999,0.2190357744693756
189.625,5.0,2000,0.3598736524581909
224.625,6.53125,2001,0.2317758947610855
367.75,8.75,2002,0.21769900619983673
216.25,8.3125,2003,0.12338074296712875
270.75,8.625,2004,0.21448418498039246
227.75,9.0,2005,0.18067890405654907
314.625,7.59375,2006,0.16558381915092468
280.375,7.5625,2007,0.16463863849639893
186.625,9.3125,2008,0.23384881019592285
165.5,10.0,2009,0.1810973584651947
203.25,10.0,2010,0.33906301856040955
253.0,7.9375,2011,0.20487208664417267
167.625,9.0,2012,0.20403952896595
768.0,-0.5,2013,0.16805799305438995
187.625,7.9375,2014,0.1316612958908081
379.125,5.1875,2015,0.32064852118492126
620.0,2.875,2016,0.22651369869709015
264.375,4.8125,2017,0.13029630482196808
287.25,8.625,2018,0.29294702410697937
228.75,10.0,2019,0.29132533073425293
298.75,9.46875,2020,0.1873900145292282
696.0,0.75,2021,0.21491797268390656
681.375,1.375,2022,0.11099706590175629
254.0,7.25,2023,0.11265145987272263
335.625,5.0,2024,0.23989734053611755
320.875,4.8125,2025,0.24322830140590668
199.375,10.0,2026,0.2543657124042511
180.5,10.0,2027,0.15362367033958435
321.75,10.0,2028,0.22648809850215912
215.25,10.0,2029,0.15017199516296387
239.625,10.0,2030,0.13311605155467987
391.875,10.0,2031,0.18407092988491058
273.25,10.0,2032,0.12776747345924377
481.125,4.1875,2033,0.21902969479560852
399.125,10.0,2034,0.13220171630382538
507.25,6.5625,2035,0.13386547565460205
285.125,9.625,2036,0.13225609064102173
232.125,9.3125,2037,0.16021105647087097
270.25,5.9375,2038,0.3323506712913513
372.75,7.9375,2039,0.19333340227603912
249.625,9.3125,2040,0.17078015208244324
194.125,9.0,2041,0.1851671189069748
620.125,4.5625,2042,0.2650150656700134
343.875,8.5,2043,0.10203582793474197
271.5,8.8125,2044,0.18634018301963806
715.25,1.5625,2045,0.13276661932468414
185.375,6.90625,2046,0.1380435973405838
529.0,4.25,2047,0.2698639929294586
217.125,5.75,2048,0.1768575757741928
270.25,6.0,2049,0.3014466166496277
166.125,10.0,2050,0.3495746850967407
205.25,8.75,2051,0.17087742686271667
601.375,4.5625,2052,0.15216799080371857
715.875,6.375,2053,0.11406198143959045
378.75,8.8125,2054,0.09771996736526489
278.25,6.03125,2055,0.191177099943161
223.375,10.0,2056,0.3158518671989441
284.375,9.3125,2057,0.13483618199825287
226.5,9.0625,2058,0.14929845929145813
201.125,6.78125,2059,0.1778317093849182
297.375,7.25,2060,0.28881415724754333
329.125,5.0625,2061,0.2475888580083847
340.875,6.5625,2062,0.2411176562309265
387.75,3.75,2063,0.19239181280136108
196.125,8.4375,2064,0.1865912675857544
622.5,2.625,2065,0.13511019945144653
236.375,5.6875,2066,0.09828395396471024
221.875,8.625,2067,0.2186535894870758
373.875,6.75,2068,0.21584202349185944
416.75,3.9375,2069,0.2736871838569641
353.125,5.3125,2070,0.1258057802915573
238.0,9.1875,2071,0.22142592072486877
422.875,8.0,2072,0.24314270913600922
194.75,10.0,2073,0.09792657196521759
158.625,10.0,2074,0.2632007896900177
404.625,10.0,2075,0.30988287925720215
201.75,9.3125,2076,0.07926248759031296
258.0,7.25,2077,0.27125492691993713
411.25,4.5,2078,0.16461369395256042
312.125,10.0,2079,0.1871694177389145
387.375,10.0,2080,0.13005764782428741
430.5,3.875,2081,0.138212651014328
218.0,7.75,2082,0.18346981704235077
215.5,9.3125,2083,0.26895612478256226
677.5,2.0625,2084,0.3163278102874756
430.25,3.875,2085,0.14989233016967773
333.625,8.78125,2086,0.18156059086322784
267.125,6.5625,2087,0.18487796187400818
195.0,9.3125,2088,0.1974935233592987
240.25,7.25,2089,0.28155383467674255
186.125,6.875,2090,0.23152868449687958
353.625,5.5,2091,0.24473001062870026
471.875,5.9375,2092,0.18094506859779358
308.875,7.25,2093,0.18029530346393585
483.375,6.6875,2094,0.24481824040412903
419.375,6.0,2095,0.21331536769866943
301.25,9.3125,2096,0.13249196112155914
161.5,10.0,2097,0.18122249841690063
213.75,6.59375,2098,0.2594057023525238
245.5,9.3125,2099,0.2583986222743988
312.0,7.59375,2100,0.3032227158546448
272.875,10.0,2101,0.2036643624305725
188.125,5.375,2102,0.16942596435546875
310.75,10.0,2103,0.12458638846874237
265.125,9.6875,2104,0.1542137712240219
321.875,4.125,2105,0.16120821237564087
177.25,9.0,2106,0.19574083387851715
336.25,6.3125,2107,0.2892006039619446
431.375,4.09375,2108,0.18098968267440796
401.25,9.0,2109,0.16934917867183685
344.5,4.96875,2110,0.2052629590034485
292.125,9.875,2111,0.18463219702243805
204.75,4.1875,2112,0.1711558699607849
298.375,6.75,2113,0.2596813142299652
258.125,4.125,2114,0.2116464525461197
613.375,2.6875,2115,0.2927180528640747
